A,B,C,D,E
1.5833,-1.1667,-1.3333,0.9024,-0.4
0.1667,-0.4167,-1.0667,439,-2.3333
2.6667,-1.6667,-0.8222,-0.6707,1.5333
0.5833,-2.6667,0.8889,-0.4268,-3.9333
-5.1667,-2.1667,-0.1556,-0.0488,3.6
4.0833,-5.6667,0.9778,-378,-2.4
4.5,-3.4167,0.5111,0.8049,-3.2
4.4167,2.25,-0.6222,0.0122,2.8
5.8333,-1.0833,0.7556,-0.8537,-4.4667
-4.5,-2.4167,-0.7111,-378,2.1333
-5.5,-2.25,0.8,-0.2683,4.7333
-1.0833,2.5,-0.8222,-439,3.1333
4.3333,-0.75,-1.4889,-0.2439,0.2
4.6667,-3.5,1.6,0.9268,-3.4
1.6667,1.3333,1.1333,-0.1098,-3.0667
2.25,3.0833,-1.5556,-0.5976,5
-3.3333,3.25,1.5778,-0.0976,-1.2667
3.25,2.3333,0.8889,-0.2805,-0.6
-5,-0.75,-0.2,0.4268,-1.5333
-2,1,0.3556,-0.2683,2.5333
-0.9167,-5.0833,0.2667,0.7317,4.7333
-3.6667,4.4167,1.0222,-0.4268,1.2
-1.75,5.1667,0.9778,-0.0122,1.8
-1.0833,4.6667,-0.0222,-0.8171,-0.2
-4.3333,0.5,-0.6444,0.1098,3
1.5833,6.0833,-1.0222,-0.4024,1.8667
-2.4167,5.8333,1.1333,0.3659,-0.1333
4.25,-1.5,0.2222,0.4634,-1.6667
5.0833,4.5,0.8667,-0.2927,0.0667
3.5833,-4.3333,0.7556,0.9268,5.1333
2.9167,-2.8333,-0.9333,-0.6098,-4.0667
-6,-4.6667,0.2444,-0.6463,5.0667
5.5,-1.5,-0.6,-0.2561,-3.4667
0.3333,1.6667,-0.1778,-0.2073,4.1333
2,5.9167,0.1778,-0.4634,0
-2.6667,-3.6667,-1.4667,-0.5122,-2.4
3.4167,-5.0833,-1.0444,0.0122,2.7333
-5.9167,-3.9167,-0.6222,0.1463,2.8667
-0.6667,1.25,-0.1333,0.1829,-2.0667
5.9167,-5.1667,1.7111,0.2683,5.6667
-3.3333,5.4167,-1.1333,-0.8537,3.4
4.75,-3,0.7333,0.8049,-0.0667
-3.4167,-2.9167,-1.5556,0.5732,-1.0667
-5.8333,5.4167,-0.8,0.5122,-0.6667
-1,1.75,0.2222,-0.5976,0.8667
4.5,5.1667,-1.2,-0.3293,0.6667
5.4167,-5.25,-0.9333,0.8049,-4.6667
-2.5,-4.5,0.8889,0.1341,0.4
-3.25,0.25,1.6222,0.0854,-0.2
-3.5833,-4.5,0.8444,-0.3293,2.4667
4.4167,-0.0833,-1.2,0.2683,-2
3.5833,-2.0833,-1.1111,0.5976,2.7333
0.5833,4.4167,-1.5333,-0.6463,-3.4667
4.1667,1.5,1.5333,122,-0.7333
1.75,5.1667,-1.2889,0.3415,-2.2667
-5.5,-0.0833,-0.8222,-0.8293,4
-6.0833,4.9167,0.0444,0.7073,-4.1333
-0.6667,3.4167,0.4444,-0.7439,4
-1.3333,2.5833,-0.4667,0.6829,1
1.8333,3.8333,-0.4222,-561,-1.2
0.1667,4.6667,-0.8444,0.8049,-4
-3.75,-2.9167,0.5333,0.9024,4
4.75,1.1667,0.0667,0.7927,-4.5333
-6.1667,6.1667,-0.7778,-0.7439,4.5333
-2.4167,5.9167,-0.6,-0.4756,2.0667
2.3333,6.3333,-1.2444,-0.8537,5.1333
-1.3333,5.4167,-1.5556,-0.5976,-0.3333
1.1667,-0.75,-0.8667,-0.7805,-1.6667
-5.8333,3.1667,-1.0444,0,-1.9333
4,-4.5,-0.7111,-0.1829,-3.8667
-3.6667,-3.5,0.0667,-0.4268,1.8
2.8333,-5.8333,0,0.4878,-3.8667
-6,3.5833,-0.2222,0.0854,-2.4667
4.9167,-4.25,-1.4222,0.6463,-3.3333
0.1667,-0.5833,0.3333,622,4.0667
4.6667,-3.1667,1.1778,0.6098,-2.7333
2.5,-1.1667,-0.4,-122,-1.8667
-1,-2.5,-1.1333,-0.0976,-2.0667
-3.1667,-2.1667,0.1333,0.1707,-3.2667
3,0.3333,1.1111,-0.0244,1.5333
-0.6667,-1.0833,0.1778,0.7805,-1.7333
-3.9167,4.5833,0.5111,378,-3.2
0.5,1.5,-1.3333,-0.6707,-2.2
-1.3333,6.0833,1.3333,0.4756,-4.3333
2.4167,-3.1667,-0.0889,-0.2683,-3.6
-4.5,-3.75,0.5333,-378,2.2667
1.25,0.9167,1.2889,-0.7073,-2.9333
-3,5.5,1.3556,-0.1341,-4
0.25,-0.6667,-1.4889,0.1098,1.0667
0.6667,-6,-0.0222,-0.5976,-3.3333
0.6667,-3.75,1.1556,0.6951,-4.8
-2.0833,-5.1667,1.6889,0.6463,-0.2667
5.0833,2.5833,-0.5111,439,0.1333
1.5833,0.75,-0.2222,561,-4.2
1.5,0.25,0.4667,-0.4878,-0.2
-4.6667,-2.9167,0.4444,-0.7073,4.1333
-4.8333,0.8333,-1.1333,0.1098,5.0667
-4.5,-5.4167,1.6222,0.5122,-0.5333
-0.75,4.75,-0.5111,0.5488,3.6667
2.75,2.25,-0.6,-0.6463,-0.1333
1.75,6.25,0.6,-0.8049,-3.7333
0.9167,-0.5833,0.5778,0.7317,1.6667
-1.5,-0.5,0.9111,-0.7317,1.8667
5.4167,3,1.2,878,-1.3333
-5.4167,0.75,-1.3333,122,-4.5333
-1.1667,-4.25,-0.8667,0.9146,-1.4
3.6667,-4.9167,1.3778,-0.1098,4.0667
0.9167,2.5,1.7556,-0.0366,4.1333
2.3333,-1.3333,0.2444,-622,3.4
2.5,4.6667,-0.4,-0.5244,-0.6
-6.5,0.3333,-1.2444,-0.7073,-3.1333
5.25,-5.4167,-0.3556,-0.2073,3.4
4,-5.6667,1.4444,0.6098,0.6
-2.5,-2.0833,1.6222,-0.7927,2.4667
-0.9167,-4.25,-1.0667,0.2927,4.2667
3.5,-0.9167,-0.1333,-0.4146,3.5333
0.4167,-3.5833,-0.6667,0,1.6667
-6.5,6.1667,0.8444,-0.3049,0.8667
-1.4167,-4.9167,1.3778,-0.0488,0.8667
-2.3333,-4.0833,0.0667,0.7927,-4.2667
4.75,-4.75,1.6889,0.5366,2.2667
4.3333,-3.75,0.4889,0.4024,2.8667
3.5,3.3333,-1.5556,0.2927,-3.5333
3,-2.8333,1.2444,0.7439,3.2
5.5,1.75,-1.4667,0.5732,-3
4.75,3.5,0.0889,0.0854,-3.4
2.9167,-3.4167,-1.4444,939,2.4
4.25,4.75,-0.6,0.0732,-2.0667
4.5833,1.9167,-0.8889,-0.5976,2
3.8333,-4.5,-0.6,0.3415,-4.7333
3.5,4.25,1.1778,-0.0366,-2.8667
1.4167,-5.9167,-0.9333,-0.2439,5.6667
3.0833,-5.4167,0.8,0.1098,0.6667
-0.8333,-5.5833,1.2,-0.6707,2.7333
5.0833,-0.5,-0.2,0.2927,2.6
2.25,-3.6667,0.4,0.9146,-2.8
1.3333,0.75,-0.5333,0.7317,3.7333
5.3333,4.3333,1.4444,0.0366,5.7333
3.75,0.9167,0.1556,0.6707,-0.3333
0.5,1.9167,-1,-0.4024,-2.2
1,-0.6667,-0.6,-0.4024,0.2
-2.6667,3.4167,0.8667,-0.8049,-1
-5.6667,1.75,0.3111,-378,-2.6
-1.6667,4.9167,-1.2667,-0.0854,-4.8667
-5.4167,-1.25,0.2444,-0.2683,-3.4667
5.0833,-2.1667,-0.4222,0.0244,4.9333
2.6667,0.1667,-1.4889,622,-4
-1.5833,1.5833,0.4889,0.7927,-0.6667
4.0833,-1.8333,0.8889,0.8293,-2.6
-2.75,1.75,1.6667,0.4878,5.6667
5.25,-2,1.4889,-0.8659,-2.4
1.0833,2.75,0.3111,-0.2317,-0.7333
-5.5,-0.1667,0.8444,0.4268,-4.7333
-2.75,4.3333,-0.5333,-0.5488,-1.8
5.0833,5.4167,-0.0889,0.2439,-2.2667
4.6667,-3.9167,-1.2444,0.8049,1.6
-5.9167,0.4167,1.2,-0.3171,-3.4
-4.25,-5,0.8444,-0.4634,-1.6
2.6667,-2,-1.4222,-0.1707,-0.7333
-4.6667,1.5833,-1.4889,0.9146,5.2
-3.5833,0.75,-0.9778,-0.4024,3.0667
4.3333,4.3333,0.1333,-0.0732,5.6
3.1667,2.5833,-0.9556,0.8171,-0.2
-0.75,-3,0.5111,0.0366,-3
-2.0833,2.3333,0.4,-0.4512,2.6
-0.3333,5.4167,0.5333,-0.6585,-2.5333
-4.75,-1,1.2,0.2683,-1.2667
-4.0833,-0.5833,-0.6444,-0.6951,4.4
